iter	Passed	Remaining
0	4	1398
1	9	1483
2	15	1501
3	20	1529
4	26	1535
5	31	1522
6	36	1516
7	41	1513
8	46	1504
9	51	1501
10	56	1496
11	62	1496
12	67	1480
13	72	1470
14	77	1464
15	81	1454
16	86	1447
17	91	1438
18	96	1430
19	101	1426
20	106	1418
21	111	1413
22	116	1407
23	121	1402
24	126	1395
25	131	1387
26	136	1381
27	141	1374
28	146	1369
29	151	1363
30	156	1361
31	161	1352
32	166	1346
33	171	1341
34	176	1335
35	181	1330
36	186	1327
37	191	1322
38	197	1318
39	202	1315
40	207	1311
41	212	1308
42	218	1304
43	223	1302
44	229	1299
45	234	1297
46	240	1293
47	246	1291
48	252	1293
49	259	1296
50	267	1304
51	273	1303
52	278	1300
53	284	1296
54	290	1293
55	295	1289
56	301	1285
57	307	1283
58	313	1278
59	319	1276
60	324	1272
61	330	1268
62	335	1263
63	341	1260
64	347	1256
65	353	1252
66	358	1248
67	364	1243
68	369	1238
69	375	1233
70	380	1228
71	386	1222
72	391	1218
73	397	1214
74	403	1209
75	409	1205
76	414	1201
77	420	1196
78	426	1192
79	432	1188
80	438	1184
81	443	1179
82	449	1176
83	456	1172
84	462	1168
85	468	1164
86	473	1160
87	479	1156
88	485	1151
89	491	1147
90	497	1142
91	503	1138
92	509	1133
93	515	1129
94	521	1124
95	527	1120
96	533	1115
97	539	1111
98	545	1107
99	551	1102
100	557	1098
101	563	1094
102	569	1090
103	575	1085
104	581	1080
105	587	1075
106	593	1071
107	599	1066
108	605	1061
109	612	1057
110	618	1052
111	624	1047
112	630	1042
113	635	1037
114	642	1033
115	648	1028
116	654	1024
117	661	1019
118	667	1015
119	673	1010
120	680	1005
121	686	1001
122	693	997
123	699	993
124	705	988
125	712	983
126	718	979
127	725	974
128	732	970
129	739	966
130	745	962
131	752	957
132	759	954
133	767	950
134	774	947
135	781	942
136	787	937
137	794	933
138	801	928
139	809	924
140	816	920
141	823	916
142	831	912
143	838	908
144	845	903
145	852	899
146	860	895
147	868	891
148	874	886
149	882	882
150	889	877
151	896	872
152	903	867
153	909	862
154	916	857
155	923	852
156	930	847
157	936	841
158	943	836
159	949	830
160	955	825
161	962	819
162	968	814
163	975	808
164	981	803
165	988	797
166	994	791
167	1000	786
168	1007	780
169	1013	774
170	1019	769
171	1025	763
172	1031	757
173	1037	751
174	1044	745
175	1050	740
176	1056	734
177	1062	728
178	1069	722
179	1075	717
180	1082	711
181	1088	705
182	1094	699
183	1100	693
184	1106	687
185	1112	681
186	1118	675
187	1124	669
188	1130	663
189	1136	657
190	1142	651
191	1147	645
192	1154	639
193	1160	633
194	1166	627
195	1172	621
196	1178	615
197	1184	609
198	1190	604
199	1196	598
200	1202	592
201	1208	586
202	1214	580
203	1220	574
204	1226	568
205	1232	562
206	1238	556
207	1244	550
208	1250	544
209	1256	538
210	1262	532
211	1268	526
212	1274	520
213	1279	514
214	1285	508
215	1292	502
216	1298	496
217	1304	490
218	1310	484
219	1315	478
220	1321	472
221	1327	466
222	1333	460
223	1339	454
224	1345	448
225	1351	442
226	1357	436
227	1363	430
228	1369	424
229	1375	418
230	1381	412
231	1387	406
232	1393	400
233	1399	394
234	1405	388
235	1411	382
236	1417	376
237	1423	370
238	1430	365
239	1436	359
240	1442	353
241	1448	347
242	1454	341
243	1460	335
244	1466	329
245	1472	323
246	1479	317
247	1484	311
248	1490	305
249	1497	299
250	1503	293
251	1509	287
252	1515	281
253	1521	275
254	1527	269
255	1533	263
256	1539	257
257	1546	251
258	1552	245
259	1559	239
260	1565	233
261	1572	228
262	1579	222
263	1586	216
264	1592	210
265	1599	204
266	1606	198
267	1612	192
268	1618	186
269	1625	180
270	1632	174
271	1638	168
272	1644	162
273	1651	156
274	1657	150
275	1663	144
276	1670	138
277	1676	132
278	1682	126
279	1688	120
280	1695	114
281	1701	108
282	1707	102
283	1713	96
284	1719	90
285	1725	84
286	1731	78
287	1737	72
288	1744	66
289	1750	60
290	1756	54
291	1762	48
292	1768	42
293	1774	36
294	1780	30
295	1786	24
296	1793	18
297	1799	12
298	1804	6
299	1811	0
