file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,entropy,size_anomaly,shadow_del,signed,disagreement
$uckyLocker.exe,0.0031,MALWARE,0.0102,0.0177,0.006,0.0179,7.24,0,0,0,0.0097
50b0c7858bc2bb2d1fa3d441bd2c4e3930b88b77c6cef11a51af5705727d6639.exe,0.0038,MALWARE,0.0114,0.0177,0.0069,0.0179,7.21,0,0,0,0.0086
2cfd30a7982b90be60f83fe5f4132999ac50d0d63d9681d8d50c3c8271faa34b.exe,0.2628,MALWARE,0.1384,0.0177,0.2269,0.0179,7.0,0,0,0,0.1648
daa69519885c0f9f4947c4e6f82a0375656630e0abf55a345a536361f986252e.exe,0.0004,MALWARE,0.0114,0.003,0.0098,0.0007,6.65,0,0,0,0.0087
40126ae71b857dd22db39611c25d3d5dd0e60316b72830e930fba9baf23973ce.exe,0.0041,MALWARE,0.0022,0.0177,0.0018,0.0179,4.59,0,0,0,0.0158
f8da280bb9f81028c14d1e156d6685cdb5f75219a60f645f72e520fb5e388712.exe,0.2688,MALWARE,0.0665,0.0177,0.1637,0.0179,5.16,0,0,0,0.0973
c30f6a1e5c9501b6e2dfae5c6c4e521438c3c7da795346ae9e05a75bf010684d.exe,0.0136,MALWARE,0.1228,0.0259,0.0756,0.0146,7.0,0,0,0,0.0789
02a526d298e49da19220022a71e31434183e520c2845c6f3eb23169602f0ed63.exe,0.2348,MALWARE,0.1323,0.003,0.2787,0.0044,6.72,0,0,0,0.2018
482754d66d01aa3579f007c2b3c3d0591865eb60ba60b9c28c66fe6f4ac53c52_8956.exe,0.2028,MALWARE,0.0679,0.0177,0.144,0.0179,5.93,0,0,0,0.0882
VirusShare_7b7f6d272f3c07cd10db43441df927e7.exe,0.1386,MALWARE,0.0329,0.0177,0.113,0.0179,6.56,0,0,0,0.0551
5ff8f64c4f30268e388f898e0540163158b5941f9c0900d50c4d2fd9d1062e4c.exe,0.1412,MALWARE,0.1324,0.236,0.2092,0.2435,7.76,0,0,0,0.0689
VirusShare_2d48e92bf0138239c84647434c354750.exe,0.0155,MALWARE,0.0258,0.0177,0.0569,0.0179,6.54,0,0,0,0.0235
7faeb64c50cd15d036ca259a047d6c62ed491fff3729433fefba0b02c059d5ed.exe,0.0086,MALWARE,0.1619,0.1906,0.0288,0.1473,5.83,0,0,0,0.0736
d9bed1a2f69d9c144006a97ee6eedaaa9cd94960a93d39aa2c7bc59e17527163.exe,0.0767,MALWARE,0.0025,0.1957,0.0053,0.3434,5.61,0,0,0,0.2657
1d1b08a2f0b09dd0f0a85439d62800bb8c3a3b8dfa0afa9ba7f9c477b8dbd6b5.exe,0.0026,MALWARE,0.0046,0.0177,0.004,0.0179,6.08,0,0,0,0.0135
2bf730fe355eb8301a064b1fb368abff003e59357ee8e68b473767b41f7e9bc5.exe,0.0859,MALWARE,0.0631,0.0076,0.1562,0.0136,5.66,0,0,0,0.099
