file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,disagreement
d3b8d065f0ca36f76542d4f2d3f6a541d0b9c3bf20420f1714f64d27061c8885.exe,0.0295,MALWARE,0.0097,0.0181,0.0084,0.0189,0.0091,0.0185,5.32,0,0,0,0.0095
7faeb64c50cd15d036ca259a047d6c62ed491fff3729433fefba0b02c059d5ed.exe,0.0416,MALWARE,0.153,0.222,0.0289,0.233,0.091,0.2275,5.83,0,0,0,0.1365
bc1f3016befc5953b692da01183fcddb9af7ff3b4ffc15f649bf4775b5bad2cd_8782.exe,0.2845,MALWARE,0.0603,0.0181,0.1118,0.0189,0.086,0.0185,6.52,0,0,0,0.0675
a16eecee6aa3bf02029cef722595b11c7d2088a02c4678cc23afb50badddfc5f.exe,0.0017,MALWARE,0.0067,0.0044,0.009,0.0052,0.0078,0.0048,5.2,0,0,0,0.003
36035b1a4995acb201c2b2160000d4477a31a2222c3f6bdc25a32d53d930bcfd.exe,0.4088,MALWARE,0.0456,0.0181,0.1299,0.0189,0.0877,0.0185,6.81,0,0,0,0.0692
aedbddbf7494baaaf759a720d9cd17540d3c171b9cc52a02e0ef9a592bd9cd63.exe,0.3226,MALWARE,0.0737,0.0181,0.102,0.0189,0.0878,0.0185,7.34,0,0,0,0.0693
Sample4.exe,0.3804,MALWARE,0.0292,0.3316,0.042,0.3897,0.0356,0.3606,5.44,0,0,0,0.325
40126ae71b857dd22db39611c25d3d5dd0e60316b72830e930fba9baf23973ce.exe,0.0034,MALWARE,0.0045,0.0181,0.0043,0.0189,0.0044,0.0185,4.59,0,0,0,0.0141
cdf13a3de6cf91a1c47ea6eca971ef781847a85df0691c54484bcf41f5f211cb.exe,0.1206,MALWARE,0.08,0.0181,0.1983,0.0189,0.1391,0.0185,2.61,0,0,0,0.1206
36ae29df569363f2ab310bbfab894f449c530f8b1f0320f42714cb26cd744750_3976.exe,0.1957,MALWARE,0.0458,0.0181,0.1325,0.0189,0.0891,0.0185,5.01,0,0,0,0.0706
ef2dfff6121e80e3fa88f86da7941f3e9a613f1ed43188be1d8df0a9b39c33cd.exe,0.0078,MALWARE,0.0148,0.0181,0.0074,0.0073,0.0111,0.0127,7.61,0,0,0,0.0016
c460fc0d4fdaf5c68623e18de106f1c3601d7bd6ba80ddad86c10fd6ea123850.exe,0.3804,MALWARE,0.0292,0.3316,0.042,0.3897,0.0356,0.3606,5.44,0,0,0,0.325
8dd283ca012e7a70a2673d2cc211c6a616ff23bc5bd3599a1da077ba946a044c.exe,0.0684,MALWARE,0.0172,0.3316,0.0255,0.3897,0.0213,0.3606,5.9,0,0,0,0.3393
