file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
0a0f1e0ef771046285f78b7af20aac3384b521dbbf6bc69ca6d559cc15d9f97e.exe,0.6933,MALWARE,SUSPICIOUS,0.2384,0.4112,0.6633,0.3691,0.4508,0.3901,5.21,0,0,0,1,0.0607
f32a14e2a7a2510862c04fdc2e9ae97bb4f444d33dc5394360ad3402548bf687.exe,0.5399,MALWARE,BENIGN,0.6351,0.1986,0.6009,0.3682,0.618,0.2834,7.36,0,0,0,1,0.3346
91bd5168b9b0026bfcc02f4a30c11f76d8663ef3ccf734afcc490098b517fa25.exe,0.5276,MALWARE,BENIGN,0.415,0.2765,0.6823,0.2445,0.5487,0.2605,6.3,0,0,0,24,0.2881
584e4ad4ef01550d20494b6929c4bdd29f0a0ab47066890f140b2d4e012734a1.exe,0.353,MALWARE,BENIGN,0.1772,0.0238,0.4022,0.0263,0.2897,0.025,4.71,0,0,0,1,0.2647
38df9f7ee6504ebae134f8f446caaa0cf9f7c2c258f51023bc7eddd68e5aad12.exe,0.3504,MALWARE,BENIGN,0.4906,0.0238,0.4619,0.0263,0.4763,0.025,6.83,0,0,0,1,0.4512
f8da280bb9f81028c14d1e156d6685cdb5f75219a60f645f72e520fb5e388712.exe,0.3438,MALWARE,BENIGN,0.1599,0.0238,0.4232,0.0263,0.2915,0.025,5.16,0,0,0,1,0.2665
a1211549b4e1a7befd953d03b4d929b3dc9f25ec6c1bc9c05ae92a0ec08fb77c.exe,0.2154,MALWARE,BENIGN,0.0675,0.0238,0.2448,0.0263,0.1561,0.025,5.32,0,0,0,1,0.1311
7e18ff461e3fc159c9b6634c9250600ea4c62da604885697c95d9bac794109b8_9759.exe,0.6017,MALWARE,SUSPICIOUS,0.6249,0.0238,0.7253,0.0263,0.6751,0.025,7.02,0,0,0,1,0.6501
aedbddbf7494baaaf759a720d9cd17540d3c171b9cc52a02e0ef9a592bd9cd63.exe,0.3198,MALWARE,BENIGN,0.5456,0.0238,0.4996,0.0263,0.5226,0.025,7.34,0,0,0,1,0.4975
698b2a9cf9ce16f1cb5cff4576e902888cb14db7414b8e6ac4eb728f8c87d209_6348.exe,0.6971,MALWARE,SUSPICIOUS,0.6913,0.243,0.7633,0.2445,0.7273,0.2438,7.98,0,0,0,1,0.4835
59e0ab333060b4e510db5d36d87f0fe267ab66b0881955649b06d91d6dd2d486.exe,0.3997,MALWARE,BENIGN,0.5701,0.0238,0.3433,0.0263,0.4567,0.025,7.43,0,0,0,1,0.4316
8d2f2ee24882afe11f50e3d6d9400e35fa66724b321cb9f5a246baf63cbc1788.exe,0.3916,MALWARE,BENIGN,0.6249,0.0238,0.5785,0.0263,0.6017,0.025,7.1,0,0,0,1,0.5767
WinlockerVB6Blacksod.exe,0.5085,MALWARE,BENIGN,0.2752,0.8415,0.3749,0.8414,0.325,0.8414,7.21,0,0,0,450,0.5164
ec368752c2cf3b23efbfa5705f9e582fc9d6766435a7b8eea8ef045082c6fbce.exe,0.5755,MALWARE,SUSPICIOUS,0.4485,0.0687,0.2776,0.0765,0.363,0.0726,5.91,0,0,0,3,0.2904
71bd706cc0ace3774449282a9c1de5403f8f43dad118b9fbf4fc45cf4894f8e9_5356.exe,0.5978,MALWARE,SUSPICIOUS,0.6476,0.0238,0.6943,0.0263,0.6709,0.025,6.97,0,0,0,1,0.6459
2c85d7c4dd069fff494edd19387d56e54a52f6ef1b557f3d775f999410eb5a4d.exe,0.2302,MALWARE,BENIGN,0.1727,0.0238,0.3675,0.0263,0.2701,0.025,5.51,0,0,0,1,0.2451
15f9ed36d9efc6e570b4f506791ce2c6a849853e2f6d587f30fb12d39dba2649.exe,0.5122,MALWARE,BENIGN,0.1505,0.7611,0.1794,0.7121,0.165,0.7366,6.46,0,0,0,310,0.5717
a16eecee6aa3bf02029cef722595b11c7d2088a02c4678cc23afb50badddfc5f.exe,0.2296,MALWARE,BENIGN,0.0675,0.0054,0.2998,0.007,0.1837,0.0062,5.2,0,0,0,1,0.1774
2bcc8e7439a0170a9adb90d9deeec8675027ac39509a8aea8494700abbdb37b8.exe,0.3391,MALWARE,BENIGN,0.6523,0.1332,0.5077,0.0841,0.58,0.1086,7.23,1,0,0,150,0.4714
VirusShare_122ddeb6b3879d9857689fcac2734267.exe,0.6169,MALWARE,SUSPICIOUS,0.2328,0.9025,0.0902,0.6446,0.1615,0.7735,6.75,0,0,0,155,0.612
800b4455105a08833332092017909f9dd47bd4ebfb1cbddbe0b95658d03b8d64.exe,0.5209,MALWARE,BENIGN,0.2605,0.0238,0.4809,0.0263,0.3707,0.025,5.29,0,0,0,1,0.3457
1338408cf2fbb6f78b650f0d76aa3a9e18430b9887bc319880adb09268bbbbb1.exe,0.6574,MALWARE,SUSPICIOUS,0.6827,0.1877,0.7218,0.2144,0.7023,0.201,6.39,1,0,0,120,0.5012
4a843cec82d350fe81db4cfbe43ee13dd69584a2031f362d523ac0ebc08a0fa9.dll,0.2817,MALWARE,BENIGN,0.5551,0.0054,0.4893,0.007,0.5222,0.0062,7.15,0,0,0,1,0.5159
