file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
002b98b0bb7c65414327845f1c7324cfd80add0746a89994844e9ca7b2dfaee9.exe,0.5398,MALWARE,SUSPICIOUS,0.2635,0.2378,0.0663,0.3407,0.1611,0.2357,0.0906,0.3175,0.1454,0.2829,5.85,0,0,0,51,0.1376
c14140334714625be71b73008adf8f54c878e3c9f979c3e58d6518fb5efdf485.exe,0.3864,MALWARE,BENIGN,0.0174,0.2378,0.0924,0.3092,0.0453,0.3463,0.0758,0.304,0.0577,0.2993,5.5,0,0,0,1,0.2416
2f294d301d8bb9b947f41faf20df104710d5c4b2f469145d4e469ca7d1998b2f.exe,0.5683,MALWARE,SUSPICIOUS,0.6461,0.2127,0.2433,0.3092,0.419,0.3463,0.3544,0.2368,0.4157,0.2763,6.47,0,0,0,1,0.1394
b3e1e9d97d74c416c2a30dd11858789af5554cf2de62f577c13944a19623777d.exe,0.4253,MALWARE,BENIGN,0.399,0.1662,0.0188,0.15,0.125,0.2893,0.015,0.1246,0.1394,0.1825,6.32,0,0,0,323,0.0431
f32a14e2a7a2510862c04fdc2e9ae97bb4f444d33dc5394360ad3402548bf687.exe,0.4027,MALWARE,BENIGN,0.3621,0.2127,0.0474,0.3092,0.1353,0.3463,0.0263,0.2368,0.1428,0.2763,7.36,0,0,0,1,0.1335
38df9f7ee6504ebae134f8f446caaa0cf9f7c2c258f51023bc7eddd68e5aad12.exe,0.3387,MALWARE,BENIGN,0.4564,0.0215,0.1306,0.0228,0.21,0.0253,0.1101,0.0226,0.2268,0.0231,6.83,0,0,0,1,0.2037
f8da280bb9f81028c14d1e156d6685cdb5f75219a60f645f72e520fb5e388712.exe,0.0427,MALWARE,BENIGN,0.0184,0.0215,0.035,0.0228,0.0937,0.0253,0.021,0.0226,0.042,0.0231,5.16,0,0,0,1,0.0189
a1211549b4e1a7befd953d03b4d929b3dc9f25ec6c1bc9c05ae92a0ec08fb77c.exe,0.1848,MALWARE,BENIGN,0.02,0.0215,0.0585,0.0228,0.2041,0.0253,0.0223,0.0226,0.0762,0.0231,5.32,0,0,0,1,0.0531
f70966e32d18a1e2ed51ebdcc6b985d8f7613febf0680639076c71ebeab6a350.exe,0.437,MALWARE,BENIGN,0.0141,0.2378,0.0298,0.3092,0.0167,0.3463,0.0263,0.304,0.0217,0.2993,5.48,0,0,0,1,0.2776
cdf13a3de6cf91a1c47ea6eca971ef781847a85df0691c54484bcf41f5f211cb_1899.exe,0.2288,MALWARE,BENIGN,0.0245,0.0215,0.0739,0.0228,0.125,0.0253,0.0151,0.0226,0.0596,0.0231,2.61,0,0,0,1,0.0366
171c9a82171f9092fbc4b9d80af92448c9d2b6ebe00e14ceef0e5259b92578c7_9222.exe,0.4708,MALWARE,BENIGN,0.3211,0.2378,0.0963,0.2266,0.117,0.2357,0.0864,0.2342,0.1552,0.2336,7.63,0,0,0,1,0.0784
9f40b69060a52731107baec84a0c0f8a1bfc1a62e8471b9cd69509aade9cb7f1.exe,0.179,MALWARE,BENIGN,0.2007,0.2378,0.2189,0.2266,0.2123,0.2357,0.2734,0.2342,0.2263,0.2336,7.91,0,0,0,1,0.0072
a16eecee6aa3bf02029cef722595b11c7d2088a02c4678cc23afb50badddfc5f.exe,0.2705,MALWARE,BENIGN,0.0194,0.0057,0.044,0.0085,0.2041,0.0073,0.0162,0.0072,0.0709,0.0072,5.2,0,0,0,1,0.0638
2bcc8e7439a0170a9adb90d9deeec8675027ac39509a8aea8494700abbdb37b8.exe,0.6097,MALWARE,SUSPICIOUS,0.7101,0.0887,0.8221,0.1524,0.6199,0.0649,0.7302,0.1447,0.7206,0.1127,7.23,1,0,0,150,0.6079
VirusShare_122ddeb6b3879d9857689fcac2734267.exe,0.4669,MALWARE,BENIGN,0.1684,0.8758,0.1149,0.6534,0.1408,0.593,0.1103,0.8401,0.1336,0.7406,6.75,0,0,0,155,0.6069
