file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,entropy,size_anomaly,shadow_del,signed,disagreement
gmake.exe,0.9762,BENIGN,0.9047,0.9695,0.9107,0.8465,6.44,0,0,0,0.0003
cmstp.exe,0.7054,BENIGN,0.1548,0.9993,0.0677,0.99,6.04,0,0,0,0.8834
CNET_233313.exe,0.7,BENIGN,0.1446,0.9699,0.0544,0.8788,4.99,1,0,0,0.8249
CNET_224793.exe,0.9587,BENIGN,0.7367,0.9863,0.7593,0.9949,7.63,1,0,0,0.2426
rescom.exe,0.973,BENIGN,0.6067,0.9485,0.8844,0.9618,6.44,1,0,0,0.2096
BsSndRpt.exe,0.891,BENIGN,0.9583,0.2313,0.8989,0.0564,6.49,0,0,0,0.7847
CNET_233154.exe,0.6986,BENIGN,0.189,0.1957,0.716,0.0308,3.16,0,0,0,0.3393
SrTasks.exe,0.7,BENIGN,0.1548,0.9843,0.0203,0.9769,6.05,0,0,0,0.8931
CNET_106053.exe,0.9652,BENIGN,0.3954,0.937,0.6788,0.9518,7.93,0,0,0,0.4073
CNET_105449.exe,0.9652,BENIGN,0.3954,0.937,0.6788,0.9518,7.93,0,0,0,0.4073
1274.exe,0.6535,BENIGN,0.1784,0.0177,0.4014,0.0179,4.81,0,0,0,0.2721
idc.exe,0.7,BENIGN,0.2966,0.9933,0.0521,0.9798,6.09,0,0,0,0.8122
SystemResetOSUpdates.exe,0.7,BENIGN,0.1546,0.9863,0.0463,0.9719,5.78,0,0,0,0.8786
