file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,disagreement
Sourceforge_7771.exe,0.8424,BENIGN,0.007,0.3257,0.0125,0.405,0.0097,0.3654,5.23,0,0,0,0.3556
CNET_236702.exe,0.6504,BENIGN,0.1437,0.0447,0.2379,0.0499,0.1908,0.0473,3.69,0,0,0,0.1435
Sourceforge_7193.exe,0.5489,BENIGN,0.0096,0.3257,0.0068,0.405,0.0082,0.3654,6.74,0,0,0,0.3572
PSEditor.exe,0.7,BENIGN,0.0691,0.9547,0.0108,0.8741,0.0399,0.9144,6.5,1,0,0,0.8744
Sourceforge_45.exe,0.8869,BENIGN,0.0291,0.0193,0.2702,0.0197,0.1497,0.0195,4.5,0,0,0,0.1301
CNET_237179.exe,0.7,BENIGN,0.04,0.0021,0.0482,0.0,0.0441,0.0011,6.13,0,1,0,0.043
mip.exe,0.7,BENIGN,0.1784,0.9846,0.0354,0.9607,0.1069,0.9726,6.62,0,0,0,0.8657
Sourceforge_3101.exe,0.519,BENIGN,0.0139,0.0052,0.1137,0.006,0.0638,0.0056,5.51,0,0,0,0.0582
Sourceforge_6858.exe,0.9386,BENIGN,0.1784,0.0193,0.3558,0.0197,0.2671,0.0195,3.01,0,0,0,0.2476
mercury.exe,0.7172,BENIGN,0.4927,0.9701,0.2053,0.8681,0.349,0.9191,6.44,1,0,0,0.5701
fusagent.exe,0.6413,BENIGN,0.272,0.444,0.182,0.3601,0.227,0.402,6.05,0,0,0,0.175
Sourceforge_2182.exe,0.7097,BENIGN,0.1199,0.0193,0.2985,0.0197,0.2092,0.0195,6.18,0,0,0,0.1897
rrinstaller.exe,0.7,BENIGN,0.0984,0.9846,0.0777,0.9607,0.0881,0.9726,6.22,0,0,0,0.8845
openssl.exe,0.9168,BENIGN,0.713,0.5908,0.761,0.4638,0.737,0.5273,6.63,0,0,0,0.2098
language.exe,0.9613,BENIGN,0.9231,0.6082,0.8633,0.7542,0.8932,0.6812,7.42,0,0,0,0.212
Windows_33.exe,0.7,BENIGN,0.0328,0.0068,0.0537,0.009,0.0433,0.0079,6.06,0,1,0,0.0354
