file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
t32.exe,0.5165,BENIGN,0.3293,0.3332,0.4058,0.2895,0.3676,0.3114,6.11,0,0,0,78,0.0562
TeamViewer_Note.exe,0.5017,BENIGN,0.7094,0.0945,0.464,0.1366,0.5867,0.1155,5.31,0,0,0,105,0.4712
wmprph.exe,0.7,BENIGN,0.1218,0.9752,0.0226,0.8254,0.0722,0.9003,5.97,0,0,0,194,0.8281
CNET_255834.exe,0.6534,BENIGN,0.0073,0.3229,0.0085,0.4204,0.0079,0.3717,5.84,0,0,0,1,0.3637
DXSETUP.exe,0.8189,BENIGN,0.7544,0.2657,0.6733,0.2146,0.7138,0.2402,5.73,0,0,0,134,0.4736
SmartScreenSettings.exe,0.7,BENIGN,0.1866,0.9139,0.0312,0.8096,0.1089,0.8617,4.92,0,0,0,45,0.7528
Sourceforge_2411.exe,0.6513,BENIGN,0.0507,0.0176,0.1366,0.0182,0.0936,0.0179,4.18,0,0,0,1,0.0757
FontCompiler.exe,0.6912,BENIGN,0.2022,0.3332,0.3759,0.2895,0.289,0.3114,6.41,0,0,0,107,0.0223
gui-64.exe,0.6902,BENIGN,0.5422,0.8455,0.6045,0.6641,0.5734,0.7548,6.11,0,0,0,81,0.1814
CNET_236702.exe,0.709,BENIGN,0.149,0.049,0.3628,0.0558,0.2559,0.0524,3.69,0,0,0,1,0.2035
CortanaDssServer.exe,0.7,BENIGN,0.1702,0.9139,0.0201,0.8096,0.0952,0.8617,5.75,0,0,0,86,0.7666
vnetstats.exe,0.488,BENIGN,0.2607,0.2466,0.4014,0.1796,0.3311,0.2131,5.96,0,0,0,102,0.118
PSEditor.exe,0.7,BENIGN,0.1568,0.9594,0.0092,0.8254,0.083,0.8924,6.5,1,0,0,307,0.8094
Update.exe,0.7694,BENIGN,0.2607,0.4602,0.4295,0.3973,0.3451,0.4287,6.29,0,0,0,268,0.0836
2130.exe,0.7503,BENIGN,0.0642,0.0176,0.1814,0.0182,0.1228,0.0179,6.17,0,0,0,1,0.1049
CNET_237179.exe,0.7,BENIGN,0.0787,0.0034,0.0614,0.0,0.07,0.0017,6.13,0,1,0,0,0.0683
CNET_245764.exe,0.9284,BENIGN,0.6862,0.2933,0.7251,0.1067,0.7056,0.2,6.54,0,0,0,355,0.5056
mip.exe,0.7,BENIGN,0.2625,0.9876,0.118,0.9713,0.1903,0.9795,6.62,0,0,0,477,0.7892
mw_4a_update.exe,0.548,BENIGN,0.2022,0.2466,0.2378,0.1796,0.22,0.2131,6.79,0,0,0,101,0.0069
DevicePairingWizard.exe,0.5084,BENIGN,0.3463,0.8455,0.6072,0.6641,0.4767,0.7548,6.46,0,0,0,66,0.2781
Sourceforge_6858.exe,0.9667,BENIGN,0.1759,0.0176,0.681,0.0182,0.4284,0.0179,3.01,0,0,0,1,0.4105
mercury.exe,0.9292,BENIGN,0.8076,0.9845,0.5821,0.9668,0.6949,0.9757,6.44,1,0,0,292,0.2808
fusagent.exe,0.5799,BENIGN,0.4122,0.4608,0.3504,0.5665,0.3813,0.5137,6.05,0,0,0,102,0.1324
Sourceforge_2182.exe,0.9182,BENIGN,0.2122,0.0176,0.5391,0.0182,0.3757,0.0179,6.18,0,0,0,1,0.3577
compact.exe,0.9318,BENIGN,0.6909,0.7751,0.6844,0.8254,0.6877,0.8002,6.25,1,0,0,101,0.1126
rrinstaller.exe,0.7,BENIGN,0.2335,0.9876,0.1323,0.9713,0.1829,0.9795,6.22,0,0,0,128,0.7966
openssl.exe,0.9979,BENIGN,0.9222,0.8097,1.0,0.7842,0.9611,0.797,6.63,0,0,0,125,0.1641
language.exe,0.9998,BENIGN,1.0,0.8009,1.0,0.9183,1.0,0.8596,7.42,0,0,0,113,0.1404
Windows_33.exe,0.7,BENIGN,0.0616,0.0046,0.0751,0.0051,0.0684,0.0049,6.06,0,1,0,1,0.0635
