file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
1462.exe,0.6373,BENIGN,SUSPICIOUS,0.1509,0.2374,0.1653,0.2316,0.1581,0.2345,7.74,0,0,0,1,0.0764
resutils.dll,0.7,BENIGN,RANSOMWARE,0.0173,0.8919,0.0032,0.8648,0.0103,0.8783,6.62,0,0,0,227,0.8681
edit.dll,0.7,BENIGN,RANSOMWARE,0.019,0.7371,0.0169,0.8274,0.0179,0.7823,6.06,0,0,0,87,0.7643
rjvclassicapp.dll,0.7,BENIGN,RANSOMWARE,0.0072,0.7897,0.0,0.7662,0.0036,0.778,6.36,0,0,0,282,0.7744
CNET_34060.exe,0.6632,BENIGN,SUSPICIOUS,0.4353,0.0568,0.3536,0.0166,0.3944,0.0367,8.0,0,0,0,1,0.3577
CNET_22006.exe,0.7,BENIGN,RANSOMWARE,0.0512,0.8611,0.0545,0.7662,0.0528,0.8137,7.65,0,0,0,1,0.7608
Sourceforge_190.exe,0.696,BENIGN,RANSOMWARE,0.0485,0.0183,0.236,0.0208,0.1423,0.0196,6.14,0,0,0,1,0.1227
CNET_43455.exe,0.8098,BENIGN,RANSOMWARE,0.5919,0.0568,0.4224,0.0166,0.5072,0.0367,8.0,0,0,0,1,0.4704
Sourceforge_3579.exe,0.6531,BENIGN,SUSPICIOUS,0.2944,0.2374,0.0921,0.2316,0.1933,0.2345,7.74,0,0,0,1,0.0412
SystemPropertiesDataExecutionPrevention.exe,0.5445,BENIGN,SUSPICIOUS,0.138,0.269,0.1545,0.2316,0.1463,0.2503,7.12,0,0,0,28,0.1041
InstallOptions.dll,0.685,BENIGN,RANSOMWARE,0.2746,0.2374,0.5112,0.2316,0.3929,0.2345,5.47,1,0,0,80,0.1584
CNET_242346.exe,0.5493,BENIGN,SUSPICIOUS,0.1089,0.0183,0.2937,0.0208,0.2013,0.0196,3.91,0,0,0,1,0.1817
msjtes40.dll,0.7907,BENIGN,RANSOMWARE,0.2533,0.269,0.3732,0.2316,0.3132,0.2503,6.15,0,0,0,118,0.0629
CNET_252100.exe,0.7,BENIGN,RANSOMWARE,0.1334,0.8757,0.1393,0.7662,0.1364,0.821,7.86,0,0,0,1,0.6846
Sourceforge_7542.exe,0.7,BENIGN,RANSOMWARE,0.0469,0.8611,0.0228,0.7662,0.0348,0.8137,7.88,0,0,0,1,0.7788
2085.exe,0.8054,BENIGN,RANSOMWARE,0.0975,0.2374,0.3872,0.2316,0.2424,0.2345,7.6,0,0,0,1,0.0079
Sourceforge_344.exe,0.6723,BENIGN,SUSPICIOUS,0.0584,0.0183,0.1748,0.0208,0.1166,0.0196,2.84,0,0,0,1,0.097
Sourceforge_4459.exe,0.7061,BENIGN,RANSOMWARE,0.1439,0.2374,0.1041,0.2316,0.124,0.2345,7.89,0,0,0,1,0.1105
CNET_100363.exe,0.7,BENIGN,RANSOMWARE,0.0364,0.8611,0.0934,0.7662,0.0649,0.8137,7.53,0,0,0,1,0.7488
CNET_203203.exe,0.6771,BENIGN,SUSPICIOUS,0.4027,0.2374,0.0857,0.2316,0.2442,0.2345,7.71,0,0,0,1,0.0097
git-bash.exe,0.9738,BENIGN,RANSOMWARE,0.6188,0.5028,0.6233,0.723,0.621,0.6129,7.55,0,0,0,86,0.0082
gdbserver.exe,0.5619,BENIGN,SUSPICIOUS,0.1236,0.2782,0.0932,0.3462,0.1084,0.3122,6.36,0,0,0,154,0.2038
NVDisplay.Container.exe,0.7847,BENIGN,RANSOMWARE,0.649,0.1332,0.698,0.1654,0.6735,0.1493,6.63,0,0,0,137,0.5242
windows.media.ocr.dll,0.7,BENIGN,RANSOMWARE,0.0074,0.8438,0.0029,0.8379,0.0052,0.8409,6.79,0,0,0,247,0.8357
ResBParser.dll,0.9443,BENIGN,RANSOMWARE,0.6691,0.2374,0.7294,0.2869,0.6993,0.2622,6.02,0,0,0,74,0.4371
xgboost.dll,0.7,BENIGN,RANSOMWARE,0.2046,0.6227,0.1711,0.7579,0.1879,0.6903,6.74,0,0,0,213,0.5024
msedge.dll,0.7,BENIGN,RANSOMWARE,0.0686,0.0228,0.0898,0.0249,0.0792,0.0238,6.71,0,1,0,512,0.0554
FileZillaServer.exe,0.9761,BENIGN,RANSOMWARE,0.8301,0.6111,0.6779,0.6905,0.754,0.6508,6.46,0,0,0,176,0.1032
SystemPropertiesAdvanced.exe,0.5445,BENIGN,SUSPICIOUS,0.138,0.269,0.1545,0.2316,0.1463,0.2503,7.12,0,0,0,28,0.1041
Sourceforge_1217.exe,0.5336,BENIGN,SUSPICIOUS,0.3812,0.2374,0.2356,0.2316,0.3084,0.2345,5.43,0,0,0,1,0.0739
gnsdk_fp.dll,0.7639,BENIGN,RANSOMWARE,0.2778,0.959,0.338,0.8574,0.3079,0.9082,6.82,0,0,0,86,0.6003
NSIS.exe,0.7,BENIGN,RANSOMWARE,0.3763,0.9498,0.1435,0.7662,0.2599,0.858,6.54,1,0,0,162,0.5981
secproc_isv.dll,0.7952,BENIGN,RANSOMWARE,0.2743,0.269,0.3183,0.2316,0.2963,0.2503,7.0,0,0,0,138,0.046
graywallsetup.exe,0.7,BENIGN,RANSOMWARE,0.0817,0.4875,0.0621,0.7833,0.0719,0.6354,7.98,0,0,0,83,0.5635
ir41_qcoriginal.dll,0.5565,BENIGN,SUSPICIOUS,0.3067,0.269,0.1386,0.2316,0.2227,0.2503,6.4,0,0,0,47,0.0276
UserInfo.dll,0.8037,BENIGN,RANSOMWARE,0.0942,0.2374,0.0865,0.3365,0.0904,0.287,3.34,0,0,0,17,0.1966
CNET_250915.exe,0.5918,BENIGN,SUSPICIOUS,0.1526,0.0183,0.3151,0.0208,0.2339,0.0196,6.19,0,0,0,1,0.2143
useroobe.dll,0.7,BENIGN,RANSOMWARE,0.0024,0.959,0.0,0.8574,0.0012,0.9082,6.2,0,0,0,352,0.907
