file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
edit.dll,0.7,BENIGN,RANSOMWARE,0.0186,0.6909,0.0244,0.8497,0.0095,0.7973,0.0913,0.7346,0.036,0.7681,6.06,0,0,0,87,0.7322
Sourceforge_7170.exe,0.8478,BENIGN,RANSOMWARE,0.1089,0.0209,0.2256,0.0255,0.1837,0.0246,0.0305,0.0226,0.1372,0.0234,6.01,0,0,0,1,0.1138
CNET_212028.exe,0.5426,BENIGN,SUSPICIOUS,0.0348,0.0209,0.14,0.0255,0.1611,0.0246,0.0453,0.0226,0.0953,0.0234,6.16,0,0,0,1,0.0719
CNET_22006.exe,0.7,BENIGN,RANSOMWARE,0.0422,0.8551,0.04,0.7816,0.0711,0.7787,0.1763,0.8294,0.0824,0.8112,7.65,0,0,0,1,0.7288
InputPersonalization.exe,0.7,BENIGN,RANSOMWARE,0.0098,0.8939,0.0061,0.7348,0.0034,0.7053,0.0499,0.8294,0.0173,0.7908,6.06,0,0,0,265,0.7735
CNET_242346.exe,0.8443,BENIGN,RANSOMWARE,0.114,0.0209,0.2818,0.0255,0.2781,0.0246,0.0453,0.0226,0.1798,0.0234,3.91,0,0,0,1,0.1564
CNET_252100.exe,0.7,BENIGN,RANSOMWARE,0.1764,0.8779,0.1435,0.7816,0.1152,0.7787,0.2459,0.8294,0.1703,0.8169,7.86,0,0,0,1,0.6467
Sourceforge_7542.exe,0.7,BENIGN,RANSOMWARE,0.0395,0.8551,0.0172,0.7816,0.0404,0.7787,0.1697,0.8294,0.0667,0.8112,7.88,0,0,0,1,0.7445
Sourceforge_344.exe,0.6473,BENIGN,RANSOMWARE,0.0666,0.0209,0.1597,0.0255,0.1473,0.0246,0.0563,0.0226,0.1075,0.0234,2.84,0,0,0,1,0.0841
Sourceforge_4459.exe,0.5504,BENIGN,SUSPICIOUS,0.1553,0.2355,0.1168,0.2264,0.1041,0.2262,0.2041,0.23,0.1451,0.2295,7.89,0,0,0,1,0.0844
CNET_100363.exe,0.7,BENIGN,RANSOMWARE,0.0422,0.8551,0.0576,0.7816,0.0388,0.7787,0.0621,0.8294,0.0502,0.8112,7.53,0,0,0,1,0.7611
WofTasks.dll,0.7493,BENIGN,RANSOMWARE,0.022,0.2355,0.0238,0.3298,0.046,0.4103,0.0662,0.5107,0.0395,0.3716,5.49,1,0,0,88,0.3321
Sourceforge_2538.exe,0.8697,BENIGN,RANSOMWARE,0.1981,0.0209,0.1787,0.0255,0.2987,0.0246,0.0547,0.0226,0.1826,0.0234,7.13,0,0,0,1,0.1592
rrinstaller_2074.exe,0.7,BENIGN,RANSOMWARE,0.0073,0.9129,0.0026,0.756,0.0005,0.7696,0.0477,0.7887,0.0145,0.8068,6.22,0,0,0,128,0.7923
git-bash.exe,0.8157,BENIGN,RANSOMWARE,0.3096,0.2355,0.2855,0.4718,0.3339,0.3685,0.5488,0.7346,0.3695,0.4526,7.55,0,0,0,86,0.0831
xgboost.dll,0.5319,BENIGN,SUSPICIOUS,0.2592,0.3743,0.1847,0.6351,0.1267,0.371,0.3839,0.7887,0.2386,0.5423,6.74,0,0,0,213,0.3037
AVGBrowserInstaller.exe,0.7389,BENIGN,RANSOMWARE,0.8844,0.2355,0.5172,0.2656,0.5686,0.1968,0.9957,0.5171,0.7415,0.3037,8.0,0,0,0,55,0.4377
msedge.dll,0.7,BENIGN,RANSOMWARE,0.0555,0.0232,0.035,0.0779,0.2294,0.0808,0.5047,0.1346,0.2062,0.0792,6.71,0,1,0,512,0.127
Sourceforge_4338.exe,0.5114,BENIGN,SUSPICIOUS,0.0706,0.0209,0.1205,0.0255,0.1518,0.0246,0.0305,0.0226,0.0933,0.0234,6.2,0,0,0,1,0.07
1122.exe,0.7329,BENIGN,RANSOMWARE,0.1848,0.0209,0.2585,0.0255,0.165,0.0246,0.0683,0.0226,0.1691,0.0234,7.35,0,0,0,1,0.1458
Sourceforge_1217.exe,0.6843,BENIGN,RANSOMWARE,0.3776,0.2355,0.3562,0.2264,0.3099,0.2262,0.1975,0.23,0.3103,0.2295,5.43,0,0,0,1,0.0807
ir32_32original.dll,0.4332,BENIGN,SUSPICIOUS,0.1542,0.5478,0.2345,0.3369,0.1333,0.3499,0.4693,0.3633,0.2478,0.3995,5.13,0,0,0,53,0.1516
