2026-03-02 00:44:05 | MODIFIED | C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-gather.db-wal
2026-03-02 00:44:05 | MODIFIED | C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-gather.db
2026-03-02 00:44:05 | MODIFIED | C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-gather.db-wal
2026-03-02 00:44:07 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1913.3556.838.aodl
2026-03-02 00:44:07 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:07 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.839.aodl
2026-03-02 00:44:07 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.839.aodl
2026-03-02 00:44:07 | CREATED | C:\Users\hp world\AppData\Roaming\Code\User\workspaceStorage\16b7c7ad893b27922f971aa5ea6645b5\state.vscdb-journal
2026-03-02 00:44:07 | MODIFIED | C:\Users\hp world\AppData\Roaming\Code\User\workspaceStorage\16b7c7ad893b27922f971aa5ea6645b5\state.vscdb-journal
2026-03-02 00:44:07 | MODIFIED | C:\Users\hp world\AppData\Roaming\Code\User\workspaceStorage\16b7c7ad893b27922f971aa5ea6645b5\state.vscdb-journal
2026-03-02 00:44:07 | MODIFIED | C:\Users\hp world\AppData\Roaming\Code\User\workspaceStorage\16b7c7ad893b27922f971aa5ea6645b5\state.vscdb
2026-03-02 00:44:07 | MODIFIED | C:\Users\hp world\AppData\Roaming\Code\User\workspaceStorage\16b7c7ad893b27922f971aa5ea6645b5\state.vscdb-journal
2026-03-02 00:44:07 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:07 | MODIFIED | C:\Users\hp world\AppData\Local\Programs\Python\Python312\python.exe
2026-03-02 00:44:08 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.839.aodl
2026-03-02 00:44:08 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:08 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.840.aodl
2026-03-02 00:44:08 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.840.aodl
2026-03-02 00:44:09 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.840.aodl
2026-03-02 00:44:09 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:09 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.841.aodl
2026-03-02 00:44:09 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.841.aodl
2026-03-02 00:44:09 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.841.aodl
2026-03-02 00:44:09 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.841.aodl
2026-03-02 00:44:09 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.841.aodl
2026-03-02 00:44:09 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.841.aodl
2026-03-02 00:44:09 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.841.aodl
2026-03-02 00:44:10 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.841.aodl
2026-03-02 00:44:10 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:10 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.842.aodl
2026-03-02 00:44:10 | MODIFIED | C:\Windows\ServiceState\EventLog\Data\lastalive0.dat
2026-03-02 00:44:11 | MODIFIED | C:\Windows\System32\winevt\Logs\Microsoft-Windows-Store%4Operational.evtx
2026-03-02 00:44:11 | MODIFIED | C:\Windows\System32\winevt\Logs\Microsoft-Windows-Ntfs%4Operational.evtx
2026-03-02 00:44:11 | MODIFIED | C:\Windows\System32\winevt\Logs\Microsoft-Windows-AppXDeploymentServer%4Operational.evtx
2026-03-02 00:44:11 | MODIFIED | C:\Windows\System32\winevt\Logs\Microsoft-Windows-AppModel-Runtime%4Admin.evtx
2026-03-02 00:44:11 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.842.aodl
2026-03-02 00:44:11 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:11 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.843.aodl
2026-03-02 00:44:11 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.843.aodl
2026-03-02 00:44:11 | MODIFIED | C:\Users\hp world\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView\Default\WebStorage\QuotaManager-journal
2026-03-02 00:44:11 | MODIFIED | C:\Users\hp world\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView\Default\WebStorage\QuotaManager-journal
2026-03-02 00:44:11 | MODIFIED | C:\Users\hp world\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView\Default\WebStorage\QuotaManager
2026-03-02 00:44:11 | MODIFIED | C:\Users\hp world\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView\Default\WebStorage\QuotaManager-journal
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.843.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:12 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.844.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.844.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.844.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:12 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.845.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.845.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.845.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.845.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.845.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.845.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView\Default\IndexedDB\https_web.whatsapp.com_0.indexeddb.leveldb\036507.log
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.845.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:12 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
