file,path,verdict,fusion_prob,avg_behavior,avg_artifact,entropy,shadow_del,signed,size_anomaly
VirusShare_14ff6bca58c0a199be6a73675030733f.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_14ff6bca58c0a199be6a73675030733f.exe,RANSOMWARE,0.9993,0.9969,0.6579,5.88,0,0,0
VirusShare_16f6f9f26496069fe211bdc703ec06d7.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_16f6f9f26496069fe211bdc703ec06d7.exe,RANSOMWARE,0.9979,0.9972,0.7865,6.6,0,0,0
VirusShare_17d88f6eb648ec395ee5ddeebd987ef0.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_17d88f6eb648ec395ee5ddeebd987ef0.exe,RANSOMWARE,0.9998,1.0,0.9874,7.91,0,0,1
VirusShare_0019ac218066b4b77971562d553a9a49.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_0019ac218066b4b77971562d553a9a49.exe,RANSOMWARE,0.9812,0.9432,0.8187,6.73,0,0,0
VirusShare_20ec847ce1b60777b067648e1b5ef9d4.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_20ec847ce1b60777b067648e1b5ef9d4.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.71,0,0,0
VirusShare_23f7d26fcd822ed7152832a767faaad7.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_23f7d26fcd822ed7152832a767faaad7.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.61,0,0,0
VirusShare_26c55905330f321288bf581aa5269fcb.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_26c55905330f321288bf581aa5269fcb.exe,RANSOMWARE,0.9948,0.9012,0.9832,6.82,0,0,0
VirusShare_26ed7fd502e42d2e44173b456c0d18fa.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_26ed7fd502e42d2e44173b456c0d18fa.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.6,0,0,0
VirusShare_28a114ae03303ec9249eaa868c9b7830.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_28a114ae03303ec9249eaa868c9b7830.exe,RANSOMWARE,0.9984,0.9893,0.943,5.98,0,0,0
VirusShare_29edd2fbedcfd056c4227eb762de516e.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_29edd2fbedcfd056c4227eb762de516e.exe,RANSOMWARE,0.9777,0.8741,0.9828,7.76,0,0,0
VirusShare_31d820378306ef1c553cb25652842864.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_31d820378306ef1c553cb25652842864.exe,RANSOMWARE,0.9998,1.0,0.9981,7.0,0,0,0
VirusShare_33da47727e5ac9797d21cf91ea33e891.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_33da47727e5ac9797d21cf91ea33e891.exe,RANSOMWARE,0.9788,0.8608,0.9701,7.61,0,0,0
VirusShare_034f8a061d88709ca04faf5b756ba470.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_034f8a061d88709ca04faf5b756ba470.exe,RANSOMWARE,0.999,0.994,0.9607,7.11,0,0,1
VirusShare_37bacce71c6e6b63bf2a530218e5eee5.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_37bacce71c6e6b63bf2a530218e5eee5.exe,RANSOMWARE,0.9998,1.0,0.947,7.58,0,0,0
VirusShare_45b9bf6d12f5477f1ec17b28e7f3fbf0.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_45b9bf6d12f5477f1ec17b28e7f3fbf0.exe,RANSOMWARE,0.9966,0.9499,0.8845,5.22,0,0,0
VirusShare_48fc525c80aea2a073b4e16f4a98646b.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_48fc525c80aea2a073b4e16f4a98646b.exe,RANSOMWARE,0.9998,0.9979,0.9905,6.94,0,0,0
VirusShare_50d0d896555d2abba0aba1257e8373cd.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_50d0d896555d2abba0aba1257e8373cd.exe,RANSOMWARE,0.9988,0.9918,0.991,4.75,0,0,0
VirusShare_54a6d762039fd77d11669ca5ee10f56f.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_54a6d762039fd77d11669ca5ee10f56f.exe,RANSOMWARE,0.9998,0.9979,0.9905,6.99,0,0,0
VirusShare_54d0ec46edbe83832c05bb0fb00ff31c.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_54d0ec46edbe83832c05bb0fb00ff31c.exe,RANSOMWARE,0.9997,1.0,0.941,7.26,0,0,1
VirusShare_59ef3417d45e5f5c01e9618aa5e98d8c.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_59ef3417d45e5f5c01e9618aa5e98d8c.exe,RANSOMWARE,0.9998,0.9979,0.9894,7.01,0,0,0
VirusShare_60ad6addd2917f2bdaa6a5581d1e057d.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_60ad6addd2917f2bdaa6a5581d1e057d.exe,RANSOMWARE,0.9975,0.9076,0.9804,5.47,0,0,0
VirusShare_67ee37db37e665b273bd0c01adcc37d3.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_67ee37db37e665b273bd0c01adcc37d3.exe,RANSOMWARE,0.9948,0.9835,0.7158,5.84,0,0,0
VirusShare_70b2c6b6c74c1ad8b85f3c3b55b03d21.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_70b2c6b6c74c1ad8b85f3c3b55b03d21.exe,RANSOMWARE,0.9998,1.0,0.995,8.0,0,0,0
VirusShare_72c97f11f0eafb9ef2453c3b3a2a8c6e.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_72c97f11f0eafb9ef2453c3b3a2a8c6e.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.6,0,0,0
VirusShare_72cdf03ea4ba6a1888b60945731ccded.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_72cdf03ea4ba6a1888b60945731ccded.exe,RANSOMWARE,0.9998,1.0,0.995,8.0,0,0,0
VirusShare_73d0daa29ac45b4736731c3bc4df8211.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_73d0daa29ac45b4736731c3bc4df8211.exe,RANSOMWARE,0.9941,0.921,0.9993,5.46,0,0,1
VirusShare_73e55780a356c9d9ccfbd05db8b8f36e.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_73e55780a356c9d9ccfbd05db8b8f36e.exe,RANSOMWARE,0.9986,0.9906,0.943,5.92,0,0,0
VirusShare_78f8f86179488bc063d21b243fc5d73c.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_78f8f86179488bc063d21b243fc5d73c.exe,RANSOMWARE,0.9266,0.6807,0.7588,5.7,0,0,0
VirusShare_80cf609659a792e72cae3fc95e30ce49.exe,/home/heph/Documents/code/rdef/rdefender/samples/ran/VirusShare_80cf609659a792e72cae3fc95e30ce49.exe,RANSOMWARE,0.9993,0.9969,0.6579,5.88,0,0,0
