file,fusion_prob,pb_rf,pa_rf,pb_xgb,pa_xgb,entropy,size_anomaly,shadow_del,disagreement
36ae29df569363f2ab310bbfab894f449c530f8b1f0320f42714cb26cd744750_3976.exe,0.0762,0.0891,0.0181,0.0589,0.0186,5.01,0,0,0.0556
DeriaLock.exe,0.003,0.0094,0.0537,0.0094,0.0643,6.34,0,0,0.0496
904c9251dc3b04216d23c15412aebd71681146091a49aca22a6382373e923ae7.exe,0.1199,0.0104,0.3833,0.0091,0.4596,6.79,0,0,0.4118
d3b8d065f0ca36f76542d4f2d3f6a541d0b9c3bf20420f1714f64d27061c8885.exe,0.0021,0.0043,0.0181,0.0065,0.0186,5.32,0,0,0.013
e47ff7d8fb6a495433106a14adb48b1d4e16774ec34e059739207edc58cbb7ef.exe,0.0553,0.1395,0.4357,0.0105,0.3286,0.44,0,0,0.3072
d80facfa346ecda27da4c7f73196ae766bc21bd3bc6f7828ecc9b390985fb92f.exe,0.0425,0.0248,0.0181,0.0875,0.0186,6.14,0,0,0.0377
cf44aa11a17b3dad61cae715f4ea27c0cbf80732a1a7a1c530a5c9d3d183482a.exe,0.0084,0.1795,0.7525,0.0129,0.5406,6.13,0,0,0.5504
59e0ab333060b4e510db5d36d87f0fe267ab66b0881955649b06d91d6dd2d486.exe,0.026,0.0341,0.0181,0.0901,0.0186,7.43,0,0,0.0437
ee35526d4b26d6cccbdc1fc8e6c94cf02e5f9be32b6b43390167804a0ce6c50f.exe,0.0071,0.7271,0.0908,0.2253,0.0119,6.58,0,0,0.4248
392f4f64305a84b2c1451761f931fe21eae4a1329864c5a83c3fdc8356b07ef9_2035.exe,0.2934,0.2068,0.0053,0.3741,0.0051,2.14,0,0,0.2853
c9920e995fbc98cd3883ef4c4520300d5e82bab5d2a5c781e9e9fe694a43e82f.exe,0.3017,0.3177,0.0053,0.338,0.0051,1.26,0,0,0.3226
c30f6a1e5c9501b6e2dfae5c6c4e521438c3c7da795346ae9e05a75bf010684d.exe,0.0289,0.1761,0.0256,0.2055,0.0106,7.0,0,0,0.1727
26e590315030ce530641ac9ea5ecbdd0b22b4f50e5b41e6c3e2d97f7e14e9e14.exe,0.2149,0.1299,0.0181,0.2018,0.0186,5.72,0,0,0.1475
8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7.exe,0.1499,0.0316,0.3833,0.0505,0.4596,6.69,0,0,0.3804
aedbddbf7494baaaf759a720d9cd17540d3c171b9cc52a02e0ef9a592bd9cd63.exe,0.0586,0.0715,0.0181,0.1226,0.0186,7.34,0,0,0.0786
4e4a77c25c914d070b2d3d968bca4206accd099e1031c6d6019ddbe768781e5e.exe,0.105,0.5879,0.7471,0.5912,0.4329,6.49,0,0,0.0004
c7f353c4ca722da712da454317e9d00b77c9b6cf6194b47009dbd67517cf2abc.exe,0.0172,0.0244,0.0181,0.1121,0.0186,5.23,0,0,0.0499
185fafbeb00cd8238fdabee088763e27012dd3a0076e04dddca6266f129f0430.exe,0.0236,0.0588,0.0181,0.0202,0.0186,7.1,0,0,0.0211
daa69519885c0f9f4947c4e6f82a0375656630e0abf55a345a536361f986252e.exe,0.0003,0.0094,0.0009,0.0181,0.001,6.65,0,0,0.0128
7faeb64c50cd15d036ca259a047d6c62ed491fff3729433fefba0b02c059d5ed.exe,0.0238,0.1764,0.2002,0.0483,0.1981,5.83,0,0,0.0868
3c107cc4bd314450d8d7ecb6cbf25cdf43eefb2fc3971ab14604c9510ec6c503.exe,0.0009,0.0025,0.0053,0.0034,0.0051,4.78,0,0,0.0022
cdf13a3de6cf91a1c47ea6eca971ef781847a85df0691c54484bcf41f5f211cb_1899.exe,0.4444,0.0998,0.0181,0.2003,0.0186,2.61,0,0,0.1316
