file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,entropy,size_anomaly,shadow_del,signed,disagreement
AtBroker.exe,0.75,BENIGN,0.2676,0.9793,0.0887,0.9616,6.14,0,0,0,0.7922
gui-32.exe,0.9839,BENIGN,0.8761,0.969,0.7675,0.8781,6.39,0,0,0,0.1018
Rar.exe,0.7168,BENIGN,0.9537,0.2318,0.8913,0.0946,6.4,1,0,0,0.7593
Sourceforge_5350.exe,0.8896,BENIGN,0.0157,0.3833,0.0707,0.4596,6.15,0,0,0,0.3783
TSWbPrxy.exe,0.7201,BENIGN,0.0588,0.965,0.0218,0.8427,5.93,1,0,0,0.8635
Sourceforge_5856.exe,0.6615,BENIGN,0.1043,0.0053,0.2881,0.0051,6.22,0,0,0,0.191
Sourceforge_4877.exe,0.75,BENIGN,0.1005,0.2392,0.0253,0.2495,7.98,0,0,0,0.1814
Sourceforge_1736.exe,0.75,BENIGN,0.0738,0.2392,0.1041,0.2495,7.7,0,0,0,0.1555
fdlauncher.exe,0.75,BENIGN,0.3513,0.1794,0.0577,0.0561,6.41,1,0,0,0.0867
Sourceforge_4738.exe,0.75,BENIGN,0.0831,0.2392,0.0738,0.2495,7.79,0,0,0,0.1659
CNET_236281.exe,0.9862,BENIGN,0.8044,0.7292,0.9687,0.9489,7.31,0,0,0,0.0475
PrintBrmUi.exe,0.75,BENIGN,0.1395,0.974,0.0239,0.9514,5.68,0,0,0,0.881
CNET_224793.exe,0.9815,BENIGN,0.7271,0.9925,0.6501,0.9987,7.63,1,0,0,0.307
Sourceforge_1897.exe,0.6853,BENIGN,0.4075,0.5417,0.4262,0.316,6.0,0,0,0,0.012
AcroBroker.exe,0.9361,BENIGN,0.8847,0.1806,0.9676,0.019,6.61,0,0,1,0.8263
Sourceforge_7687.exe,0.75,BENIGN,0.0889,0.8385,0.0707,0.8538,7.69,0,0,0,0.7664
CNET_102510.exe,0.75,BENIGN,0.1364,0.2392,0.193,0.2495,7.79,0,0,0,0.0797
CNET_234376.exe,0.9713,BENIGN,0.9602,0.7525,0.8209,0.8504,7.96,0,0,0,0.0891
Sourceforge_6365.exe,0.651,BENIGN,0.006,0.3833,0.0091,0.4596,5.67,0,0,0,0.414
CNET_19100.exe,0.75,BENIGN,0.1764,0.2392,0.2173,0.2495,7.98,0,0,0,0.0476
CNET_253578.exe,0.75,BENIGN,0.1006,0.2392,0.031,0.2495,7.97,0,0,0,0.1786
Sourceforge_5463.exe,0.75,BENIGN,0.0738,0.2392,0.0686,0.2495,7.71,0,0,0,0.1732
Sourceforge_5348.exe,0.8896,BENIGN,0.0157,0.3833,0.0707,0.4596,6.15,0,0,0,0.3783
CNET_219872.exe,0.75,BENIGN,0.1006,0.2392,0.031,0.2495,7.97,0,0,0,0.1786
clamwallsetup.exe,0.75,BENIGN,0.6722,0.9265,0.4998,0.9386,7.97,0,0,0,0.3466
Sourceforge_1217.exe,0.6502,BENIGN,0.1909,0.2392,0.3972,0.2495,5.43,0,0,0,0.0496
Sourceforge_1496.exe,0.847,BENIGN,0.4479,0.238,0.4991,0.3369,3.74,0,0,0,0.1861
Uninstall.exe,0.9977,BENIGN,0.9635,0.9879,0.9431,0.9472,6.08,1,0,0,0.0142
dialer.exe,0.75,BENIGN,0.1761,0.9767,0.0091,0.9701,5.59,1,0,0,0.8808
CNET_250657.exe,0.75,BENIGN,0.0687,0.0,0.0239,0.0,6.09,0,1,1,0.0463
Sourceforge_3256.exe,0.75,BENIGN,0.1263,0.2392,0.1041,0.2495,7.9,0,0,0,0.1292
SELFCERT.EXE,0.9687,BENIGN,0.9139,0.6656,0.9663,0.8914,7.2,0,0,0,0.1616
Sourceforge_4327.exe,0.6964,BENIGN,0.0637,0.0181,0.2496,0.0186,5.05,0,0,0,0.1382
softonic99.exe,0.6824,BENIGN,0.1911,0.1835,0.6386,0.1957,7.82,0,0,0,0.2252
VMwareToolsUpgrader.exe,0.8515,BENIGN,0.9151,0.6984,0.7156,0.4462,6.37,0,0,0,0.2431
Sourceforge_3257.exe,0.75,BENIGN,0.1259,0.2392,0.1041,0.2495,7.89,0,0,0,0.1294
tabcal.exe,0.75,BENIGN,0.1946,0.965,0.0455,0.8538,5.7,1,0,0,0.7894
Sourceforge_4079.exe,0.75,BENIGN,0.115,0.2392,0.1146,0.2495,7.98,0,0,0,0.1296
mbxmaint_ui.exe,0.75,BENIGN,0.6026,0.3528,0.3583,0.167,6.52,1,0,0,0.2206
Sourceforge_3253.exe,0.75,BENIGN,0.1259,0.2392,0.1041,0.2495,7.89,0,0,0,0.1294
CNET_34060.exe,0.75,BENIGN,0.2923,0.0256,0.4039,0.0106,8.0,0,0,0,0.33
Sourceforge_848.exe,0.75,BENIGN,0.1275,0.2392,0.1041,0.2495,7.68,0,0,0,0.1286
