filename,p_rf_b,p_rf_a,p_xgb_b,p_xgb_a,avg_beh,avg_art,disagreement,prob_entropy,SILVER_valid_sig,SILVER_shadow_del,SILVER_size_anomaly,SILVER_file_entropy
VirusShare_284b37c4771f4dcf91a37348014e04ff.exe,0.2145295574297277,0.2392443392416994,0.28103539658089477,0.24950114885965982,0.24778247700531125,0.2443727440506796,0.00340973295463165,0.5564546981201022,0.0,0.0,0.0,7.610898701667189
VirusShare_400d4d727950f4d6de451115b8c4cfc1.exe,0.27382680212868893,0.603968253968254,0.09474503248929977,0.5406296451886495,0.18428591730899435,0.5722989495784518,0.3880130322694575,0.5654051532836253,0.0,0.0,0.0,6.113408535958003
VirusShare_7207d7d308e600d53bc7a0b1536680aa.exe,0.009432913801828962,0.0537179311609279,0.009440621826797724,0.06426392743984859,0.009436767814313343,0.05899092930038824,0.049554161486074895,0.13866413993985283,0.0,0.0,0.0,6.16147257346997
VirusShare_8441d32f80ef2c7772b25db4b95aab4f.exe,0.005967000432394572,0.0537179311609279,0.006507131581505139,0.06426392743984859,0.006237066006949855,0.05899092930038824,0.05275386329343838,0.13090499903526082,0.0,0.0,0.0,5.250813054615244
VirusShare_718965a0988de9690f2a11cea3dfd9a2.exe,0.009432913801828962,0.7292207792207792,0.004633090614030759,0.9488871892293295,0.007033002207929861,0.8390539842250544,0.8320209820171245,0.21717835176899272,0.0,0.0,0.0,6.058367795292411
VirusShare_be8fcbe796af1267a45b9cba4ed08335.exe,0.009432913801828962,0.018141909538113826,0.011508786585181952,0.01864597077171008,0.010470850193505457,0.018393940154911952,0.007923089961406496,0.07491065102659056,0.0,0.0,0.0,6.89824112867681
VirusShare_be62854618491cb4fe30b2299102bb1b.exe,0.02526362315349653,0.0537179311609279,0.011508786585181952,0.06426392743984859,0.018386204869339243,0.05899092930038824,0.040604724431049,0.1571396403506801,0.0,0.0,0.0,6.692810450443823
VirusShare_d23c1057bfe4f1aaaf5a5a5bc37bd061.exe,0.009432913801828962,0.01814190953811384,0.020213824075957138,0.01864597077171008,0.01482336893889305,0.01839394015491196,0.003570571216018909,0.0839219436128506,0.0,0.0,0.0,6.939615312698508
VirusShare_ef8d02d90a3d369ccf8cece4f0f72ceb.exe,0.010419418637365304,0.0537179311609279,0.009060012642294168,0.06426392743984859,0.009739715639829737,0.05899092930038824,0.0492512136605585,0.1393546346742825,0.0,0.0,0.0,5.865696070493107
VirusShare_f04e4e2f4061731b93809cc768e14e61.exe,0.009432913801828962,0.7292207792207792,0.004633090614030759,0.9488871892293295,0.007033002207929861,0.8390539842250544,0.8320209820171245,0.21717835176899272,0.0,0.0,0.0,6.0588104108792145
VirusShare_f267f725d69921556f969b3f9425dbb4.exe,0.0514415897691159,0.2392443392416994,0.02833685263370474,0.24950114885965982,0.03988922120141032,0.2443727440506796,0.2044835228492693,0.360911123596884,0.0,0.0,0.0,7.510515313140238
